,topic,users
0,"Serenity,Solitude,Escape,Tranquility,Peace,","['user28', 'user41']"
1,"Harmony,Simplicity,Balance,Nature,Beauty,","['user28', 'user41']"
2,"Wonder,Joy,Love,Hope,Faith,","['user23', 'user48', 'user36', 'user24', 'user49', 'user37', 'user13']"
3,"Truth,Wisdom,Knowledge,Understanding,Freedom,","['user29', 'user41', 'user19', 'user18']"
4,"Independence,Self-reliance,Courage,Strength,Power,","['user15', 'user6', 'user36', 'user48', 'user23', 'user34', 'user35', 'user22', 'user47']"
5,"Confidence,Self-esteem,Motivation,Inspiration,Passion,","['user15', 'user5', 'user45', 'user22', 'user36', 'user48', 'user46', 'user23', 'user47', 'user35']"
6,"Enthusiasm,Creativity,Imagination,Vision,Innovation,","['user32', 'user34', 'user46', 'user21', 'user33', 'user45', 'user20']"
7,"Transformation,Growth,Development,Progress,Evolution,","['user20', 'user45', 'user19', 'user31', 'user32', 'user44']"
8,"Change,Transition,Renewal,Rebirth,Redemption,","['user32', 'user44', 'user20', 'user43', 'user31']"
9,"Forgiveness,Healing,Restoration,Rejuvenation,Vitality,","['user34', 'user46', 'user22', 'user30', 'user31', 'user43']"
10,"Energy,Abundance,Wealth,Prosperity,Success,","['user34', 'user46', 'user21']"
11,"Achievement,Fulfillment,Happiness,Contentment,Gratitude,",user12
12,"Appreciation,Wonder,Awe,Respect,Honor,","['user27', 'user39', 'user3']"
13,"Dignity,Integrity,Honesty,Trust,Loyalty,","['user27', 'user39']"
14,"Commitment,Responsibility,Accountability,Discipline,Self-control,","['user5', 'user47', 'user6', 'user26', 'user39', 'user36', 'user35', 'user48', 'user23']"
15,"Patience,Perseverance,Resilience,Grit,Determination,",user16
16,"Focus,Concentration,Attention,Mindfulness,Awareness,",user17
17,"Presence,Intuition,Insight,Wisdom,Knowledge,",['user4']
18,"Understanding,Learning,Education,Growth,Development,","['user4', 'user8', 'user32', 'user44']"
19,"Transformation,Change,Innovation,Creativity,Imagination,","['user9', 'user31', 'user8', 'user32', 'user44', 'user33', 'user7', 'user45']"
20,"Inspiration,Motivation,Passion,Enthusiasm,Energy,","['user11', 'user7', 'user45', 'user34', 'user6', 'user33', 'user46']"
21,"Vitality,Strength,Power,Courage,Confidence,","['user10', 'user6', 'user46', 'user35', 'user5', 'user34', 'user47']"
22,"Self-esteem,Self-belief,Self-worth,Self-acceptance,Self-love,","['user3', 'user37', 'user49', 'user24', 'user15', 'user5', 'user47', 'user6', 'user36', 'user35']"
23,"Compassion,Empathy,Kindness,Generosity,Love,","['user23', 'user3', 'user48', 'user37', 'user36', 'user49']"
24,"Connection,Community,Belonging,Family,Friends,","['user49', 'user38', 'user37', 'user50']"
25,"Relationships,Intimacy,Partnership,Marriage,Commitment,","['user15', 'user50', 'user39', 'user38']"
26,"Loyalty,Trust,Respect,Communication,Cooperation,","['user13', 'user14', 'user40', 'user39']"
27,"Teamwork,Collaboration,Unity,Harmony,Peace,","['user2', 'user1', 'user41', 'user40']"
28,"Justice,Equality,Freedom,Democracy,Human rights,","['user4', 'user42', 'user41']"
29,"Sustainability,Environmentalism,Conservation,Preservation,Restoration,","['user10', 'user43', 'user42']"
30,"Healing,Renewal,Rebirth,Transformation,Evolution,","['user10', 'user20', 'user9', 'user8', 'user44', 'user43']"
31,"Change,Growth,Development,Progress,Innovation,","['user9', 'user7', 'user19', 'user20', 'user45', 'user44', 'user8']"
32,"Creativity,Imagination,Inspiration,Motivation,Passion,","['user7', 'user46', 'user20', 'user6', 'user45', 'user21']"
33,"Enthusiasm,Energy,Vitality,Strength,Power,","['user11', 'user10', 'user7', 'user5', 'user47', 'user21', 'user46', 'user22']"
34,"Courage,Confidence,Self-esteem,Self-belief,Self-worth,","['user15', 'user22', 'user5', 'user36', 'user6', 'user47', 'user48', 'user23']"
35,"Self-acceptance,Self-love,Compassion,Empathy,Kindness,","['user3', 'user37', 'user15', 'user5', 'user47', 'user6', 'user35', 'user49', 'user24', 'user23']"
36,"Generosity,Love,Connection,Community,Belonging,","['user23', 'user48', 'user36', 'user3', 'user24', 'user50', 'user49', 'user25']"
37,"Family,Friends,Relationships,Intimacy,Partnership,","['user25', 'user50', 'user26']"
38,"Marriage,Commitment,Loyalty,Trust,Respect,","['user15', 'user13', 'user14', 'user26', 'user27']"
39,"Communication,Cooperation,Teamwork,Collaboration,Unity,","['user27', 'user28']"
40,"Harmony,Peace,Justice,Equality,Freedom,","['user2', 'user1', 'user4', 'user28', 'user29']"
41,"Democracy,Human rights,Sustainability,Environmentalism,Conservation,","['user29', 'user30']"
42,"Preservation,Restoration,Healing,Renewal,Rebirth,","['user10', 'user9', 'user30', 'user31']"
43,"Transformation,Evolution,Change,Growth,Development,","['user9', 'user19', 'user20', 'user31', 'user32', 'user8']"
44,"Progress,Innovation,Creativity,Imagination,Inspiration,","['user6', 'user21', 'user8', 'user32', 'user7', 'user33', 'user20']"
45,"Motivation,Passion,Enthusiasm,Energy,Vitality,","['user11', 'user10', 'user7', 'user22', 'user6', 'user33', 'user34', 'user21']"
46,"Strength,Power,Courage,Confidence,Self-esteem,","['user15', 'user36', 'user48', 'user34', 'user23', 'user6', 'user5', 'user35', 'user22']"
47,"Self-belief,Self-worth,Self-acceptance,Self-love,Compassion,","['user3', 'user49', 'user37', 'user24', 'user15', 'user5', 'user6', 'user47', 'user36', 'user35']"
48,"Empathy,Kindness,Generosity,Love,Connection,","['user23', 'user48', 'user3', 'user25', 'user36', 'user37', 'user24']"
49,"Community,Belonging,Family,Friends,Relationships,","['user26', 'user37', 'user38', 'user25']"
